Title,Note,URL,Tags,Comment
,,,,
Springville Rd Trailhead into Forest Park,,https://www.google.com/maps/place/Springville+Rd+Trailhead+into+Forest+Park/data=!4m2!3m1!1s0x549509541b66d4fb:0x8193f58a6bc09957,,
Wildwood Trailhead at Germantown Rd,,https://www.google.com/maps/place/Wildwood+Trailhead+at+Germantown+Rd/data=!4m2!3m1!1s0x549507c37611cb9d:0xf2917a1472563db1,,
Powell Butte Trailhead,,https://www.google.com/maps/place/Powell+Butte+Trailhead/data=!4m2!3m1!1s0x54959f8d73e33877:0x941748e5c14b749f,,
Springwater Corridor Trail,,https://www.google.com/maps/place/Springwater+Corridor+Trail/data=!4m2!3m1!1s0x549598c66f140a1d:0xedb5386099f308cf,,
NW 53rd Dr trailhead,,https://www.google.com/maps/place/NW+53rd+Dr+trailhead/data=!4m2!3m1!1s0x549509b753fd65fb:0x62c459da12c6fdc,,
Ridge Trailhead,,https://www.google.com/maps/place/Ridge+Trailhead/data=!4m2!3m1!1s0x549508082bde896b:0xa280d949a2645abe,,
Linnton Loop Hike Trailhead,,https://www.google.com/maps/place/Linnton+Loop+Hike+Trailhead/data=!4m2!3m1!1s0x549507ed7339c167:0x1fb0dbba3574136b,,
Flicker Trail,,https://www.google.com/maps/place/Flicker+Trail/data=!4m2!3m1!1s0x54950a4e599e83d3:0xbbb18e1a303a5a7,,
Towhee Trailhead,,https://www.google.com/maps/place/Towhee+Trailhead/data=!4m2!3m1!1s0x54950bbdff5f9a03:0x34718d42244a7b32,,
Hoyt Arboretum,,https://www.google.com/maps/place/Hoyt+Arboretum/data=!4m2!3m1!1s0x54950987fa6ec2f1:0x1d78a551ed2727c,,
Wildwood Trail,,https://www.google.com/maps/place/Wildwood+Trail/data=!4m2!3m1!1s0x54950990b50c7bad:0x474e9d48d380be08,,
Lower Macleay Park,,https://www.google.com/maps/place/Lower+Macleay+Park/data=!4m2!3m1!1s0x549509e9f2adf02d:0x1b3668a7adc941d9,,
Waterfront Park Trail,,https://www.google.com/maps/place/Waterfront+Park+Trail/data=!4m2!3m1!1s0x54950b157de23095:0xf8fd5fae640777f5,,
Leif Erikson Trail,,https://www.google.com/maps/place/Leif+Erikson+Trail/data=!4m2!3m1!1s0x549509c7457aab53:0xdabe371ac5b325d7,,
Aspen Trail,,https://www.google.com/maps/place/Aspen+Trail/data=!4m2!3m1!1s0x549509c0e5bcb817:0x440f9d640eefaf5d,,
