Title,Note,URL,Tags,Comment
,,,,
Star Theater and Starlight Lounge,,https://www.google.com/maps/place/Star+Theater+and+Starlight+Lounge/data=!4m2!3m1!1s0x54950a0138da9fa3:0xa8100cad84dda96e,,
Joy Cinema,,https://www.google.com/maps/place/Joy+Cinema/data=!4m2!3m1!1s0x54950ce3ffffffff:0xcba6d5ecbb04ddaa,,
McMenamins Kennedy School Theater,,https://www.google.com/maps/place/McMenamins+Kennedy+School+Theater/data=!4m2!3m1!1s0x5495a6e841c06601:0xb0056712ce14fa3f,,
Moreland Theater,,https://www.google.com/maps/place/Moreland+Theater/data=!4m2!3m1!1s0x54950aea7a659a15:0x1ada3d4683d059bf,,
St. Johns Twin Cinemas,,https://www.google.com/maps/place/St.+Johns+Twin+Cinemas/data=!4m2!3m1!1s0x5495a8006d3f3ca9:0x5bd589cfcf3c5687,,
McMenamins Bagdad Theater & Pub,,https://www.google.com/maps/place/McMenamins+Bagdad+Theater+%26+Pub/data=!4m2!3m1!1s0x5495a08d8dbaf3f1:0xbc101449ec08385,,
5th Avenue Cinema,,https://www.google.com/maps/place/5th+Avenue+Cinema/data=!4m2!3m1!1s0x54950a16a052abfb:0x97e8be8b378049c7,,
Avalon Theatre,,https://www.google.com/maps/place/Avalon+Theatre/data=!4m2!3m1!1s0x5495a0937b4c1109:0xcca426e04f8117da,,
Academy Theater,,https://www.google.com/maps/place/Academy+Theater/data=!4m2!3m1!1s0x5495a106cd771e73:0x51cea234d37783a2,,
Cinemagic,,https://www.google.com/maps/place/Cinemagic/data=!4m2!3m1!1s0x5495a099435e76b7:0x23d8e09b427ad3d6,,
Studio One Theaters,,https://www.google.com/maps/place/Studio+One+Theaters/data=!4m2!3m1!1s0x5495a18b0576f215:0x774572a4db70f74d,,
PAM CUT's Tomorrow Theater,,https://www.google.com/maps/place/PAM+CUT's+Tomorrow+Theater/data=!4m2!3m1!1s0x5495a148fad74e71:0x6a1fdf7772d20a3e,,
Laurelhurst Theater,,https://www.google.com/maps/place/Laurelhurst+Theater/data=!4m2!3m1!1s0x5495a0bf1dd67145:0xe4ad5612540de235,,
Clinton Street Theater,,https://www.google.com/maps/place/Clinton+Street+Theater/data=!4m2!3m1!1s0x5495a083d2cc3f73:0xad6c76ff40bcfd1d,,
Hollywood Theatre,,https://www.google.com/maps/place/Hollywood+Theatre/data=!4m2!3m1!1s0x5495a0d74331afef:0xa735454fea36ab36,,
Living Room Theaters,,https://www.google.com/maps/place/Living+Room+Theaters/data=!4m2!3m1!1s0x54950a03a2c82821:0x947db45651aa9a77,,
Cinema 21,,https://www.google.com/maps/place/Cinema+21/data=!4m2!3m1!1s0x549509f752b6135b:0x49a818903dae867,,
