Title,Note,URL,Tags,Comment
,,,,
World Forestry Center,,https://www.google.com/maps/place/World+Forestry+Center/data=!4m2!3m1!1s0x54950a2bd9e63183:0x5d5525bdd14e87b9,,
Oregon Historical Society,,https://www.google.com/maps/place/Oregon+Historical+Society/data=!4m2!3m1!1s0x54950a1a91bd30e9:0xa1e159a76a17972d,,
Oregon Rail Heritage Center,,https://www.google.com/maps/place/Oregon+Rail+Heritage+Center/data=!4m2!3m1!1s0x54950a73d3fa720b:0x2f4bae219ba35425,,
Jordan Schnitzer Museum of Art at Portland State University,,https://www.google.com/maps/place/Jordan+Schnitzer+Museum+of+Art+at+Portland+State+University/data=!4m2!3m1!1s0x54950bf09330a20f:0xc935df93a556fc80,,
Portland Chinatown Museum,,https://www.google.com/maps/place/Portland+Chinatown+Museum/data=!4m2!3m1!1s0x54950a00b89467a3:0xcb96005c63f6172c,,
lumber room,,https://www.google.com/maps/place/lumber+room/data=!4m2!3m1!1s0x54950a01ddaad90f:0x7ea5c96d7981ec9,,
Star Tropics Pinball Museum,,https://www.google.com/maps/place/Star+Tropics+Pinball+Museum/data=!4m2!3m1!1s0x5495a1000f8c6083:0x6f4f42a4c2ab2f0f,,
Bliss House Museum,,https://www.google.com/maps/place/Bliss+House+Museum/data=!4m2!3m1!1s0x549509d677c5cd21:0x27e5333c1cfae50,,
The Zymoglyphic Museum,,https://www.google.com/maps/place/The+Zymoglyphic+Museum/data=!4m2!3m1!1s0x54950a0b0c73f995:0x24178d1e46f150d,,
Japanese American Museum of Oregon,,https://www.google.com/maps/place/Japanese+American+Museum+of+Oregon/data=!4m2!3m1!1s0x54950a00b0343773:0x97d045d1b6af935,,
OMSI,,https://www.google.com/maps/place/OMSI/data=!4m2!3m1!1s0x54950a72e8b112d1:0xd074694827faf84c,,
Portland Art Museum,,https://www.google.com/maps/place/Portland+Art+Museum/data=!4m2!3m1!1s0x54950a1b27256645:0xed70fe27d05ac86d,,
Pittock Mansion,,https://www.google.com/maps/place/Pittock+Mansion/data=!4m2!3m1!1s0x549509920bd06f53:0xbfea2f6e1ea1c0fa,,
