Title,Note,URL,Tags,Comment
,,,,
Scouters Mountain Nature Park,,https://www.google.com/maps/place/Scouters+Mountain+Nature+Park/data=!4m2!3m1!1s0x54959e57b67b87cb:0x56da20da65ec58d2,,
Powell Butte Nature Park,,https://www.google.com/maps/place/Powell+Butte+Nature+Park/data=!4m2!3m1!1s0x54959f449b3bdd11:0xa38faa35582a3ddf,,
Council Crest Park,,https://www.google.com/maps/place/Council+Crest+Park/data=!4m2!3m1!1s0x54950a3502121c57:0x6ef20dbf54e5b73b,,
Lower Macleay Park,,https://www.google.com/maps/place/Lower+Macleay+Park/data=!4m2!3m1!1s0x549509e9f2adf02d:0x1b3668a7adc941d9,,
Wallace Park,,https://www.google.com/maps/place/Wallace+Park/data=!4m2!3m1!1s0x549509db43488955:0x94b5853491588c25,,
Arbor Lodge Park,,https://www.google.com/maps/place/Arbor+Lodge+Park/data=!4m2!3m1!1s0x5495a7a2f6454b73:0xaae2da883759696b,,
Fernhill Park,,https://www.google.com/maps/place/Fernhill+Park/data=!4m2!3m1!1s0x5495a6c1e192ecc5:0xde4c1d8f8e50f90a,,
Tom McCall Waterfront Park,,https://www.google.com/maps/place/Tom+McCall+Waterfront+Park/data=!4m2!3m1!1s0x54950a0764850d75:0xfd20dac4cfa02bff,,
South Park Blocks,,https://www.google.com/maps/place/South+Park+Blocks/data=!4m2!3m1!1s0x54950a10b650ce09:0x3df771dc270ee929,,
Wilshire Park,,https://www.google.com/maps/place/Wilshire+Park/data=!4m2!3m1!1s0x5495a6d743802d05:0x69ddd4023ff70271,,
Tanner Springs Park,,https://www.google.com/maps/place/Tanner+Springs+Park/data=!4m2!3m1!1s0x549509fe0a2ee013:0x8edbc3f3d11694e5,,
Ladd Circle Park & Rose Gardens,,https://www.google.com/maps/place/Ladd+Circle+Park+%26+Rose+Gardens/data=!4m2!3m1!1s0x5495a09d94069283:0x7374b353f25772ba,,
Mt. Tabor Park,,https://www.google.com/maps/place/Mt.+Tabor+Park/data=!4m2!3m1!1s0x5495a0f881565735:0xb91a9046c3fce04a,,
Mocks Crest,,https://www.google.com/maps/place/Mocks+Crest/data=!4m2!3m1!1s0x5495a7700287a6ff:0x5e95861de4fb2aec,,
Washington Park,,https://www.google.com/maps/place/Washington+Park/data=!4m2!3m1!1s0x54950a270bd7f419:0x6e4012538a68d97b,,
Grant Park,,https://www.google.com/maps/place/Grant+Park/data=!4m2!3m1!1s0x5495a0d3ed7b6267:0x96d81efa417ff022,,
Laurelhurst Park,,https://www.google.com/maps/place/Laurelhurst+Park/data=!4m2!3m1!1s0x5495a0eac4eeb42d:0xa26df736588d055e,,
Michigan Park,,https://www.google.com/maps/place/Michigan+Park/data=!4m2!3m1!1s0x5495a734404049f5:0x661046daa22e69f0,,
Alberta Park,,https://www.google.com/maps/place/Alberta+Park/data=!4m2!3m1!1s0x5495a6e3d71a4269:0x779c416cabef73d5,,
Overlook Park,,https://www.google.com/maps/place/Overlook+Park/data=!4m2!3m1!1s0x5495a7686d07ad05:0xcb68f91e075acba6,,
Peninsula Park,,https://www.google.com/maps/place/Peninsula+Park/data=!4m2!3m1!1s0x5495a70880a77b1b:0x23e99c2f00908a63,,
Irving Park,,https://www.google.com/maps/place/Irving+Park/data=!4m2!3m1!1s0x5495a7399db8460d:0x736995be4c9b3a7e,,
