Title,Note,URL,Tags,Comment
,,,🛴 Fun stores;🥕 Farmer’s markets;📔 Stationery stores;🚲 Bike shops;🖋️ Tattoo shops;💽 Record stores;🏷️ Thrift & vintage;📚 Bookstores,
Art Supply Center- (formerly known as I’ve Been Framed),,https://www.google.com/maps/place/Art+Supply+Center-+(formerly+known+as+I%E2%80%99ve+Been+Framed)/data=!4m2!3m1!1s0x5495a065eb14d445:0x7b59bfed5a3d9be6,,
Little Otsu (Still open online - Division store closed),,https://www.google.com/maps/place/Little+Otsu+(Still+open+online+-+Division+store+closed)/data=!4m2!3m1!1s0x5495a0867e98279f:0x670698f4666a50ce,📔 Stationery stores,
Oblation Papers & Press,,https://www.google.com/maps/place/Oblation+Papers+%26+Press/data=!4m2!3m1!1s0x549509ff4a2fed39:0x64da025dee31292a,📔 Stationery stores,
Mint Gallery Records,,https://www.google.com/maps/place/Mint+Gallery+Records/data=!4m2!3m1!1s0x5495a70014e83d67:0x6a9eb05afb481ef,💽 Record stores,
H Mart Belmont,,https://www.google.com/maps/place/H+Mart+Belmont/data=!4m2!3m1!1s0x5495a14571766bef:0xaa8576f85bcf57fb,,
MUJI Portland,,https://www.google.com/maps/place/MUJI+Portland/data=!4m2!3m1!1s0x54950bf407d77c1b:0x2c05ee8033eae2e0,🛴 Fun stores;📔 Stationery stores,
Queen of eyes Vintage,,https://www.google.com/maps/place/Queen+of+eyes+Vintage/data=!4m2!3m1!1s0x5495a79f2e80c26d:0x4cb70137c1b65613,🏷️ Thrift & vintage,
Electric Lettuce Dispensary,,https://www.google.com/maps/place/Electric+Lettuce+Dispensary/data=!4m2!3m1!1s0x5495a7e568308785:0x49d368c260b92ec2,,
DIMEANDPENNY,,https://www.google.com/maps/place/DIMEANDPENNY/data=!4m2!3m1!1s0x5495a75776288ea9:0x9e88ff36b24e643,🏷️ Thrift & vintage,
Community Cycling Center,,https://www.google.com/maps/place/Community+Cycling+Center/data=!4m2!3m1!1s0x5495a71f82ab6281:0x872cb64e8eeef29a,🚲 Bike shops,
Birdhouse Tattoo,,https://www.google.com/maps/place/Birdhouse+Tattoo/data=!4m2!3m1!1s0x5495a7ccf5f3e19f:0x135f93738fddba73,🖋️ Tattoo shops,
Citizens Photo,,https://www.google.com/maps/place/Citizens+Photo/data=!4m2!3m1!1s0x5495a0a72e239ad5:0xa1960e358c2bf914,🛴 Fun stores,
Mountain Shop,,https://www.google.com/maps/place/Mountain+Shop/data=!4m2!3m1!1s0x5495a0d08798b83f:0xac9f8e3b47d95cd7,🛴 Fun stores,
Looking Sideways Vintage,,https://www.google.com/maps/place/Looking+Sideways+Vintage/data=!4m2!3m1!1s0x5495a18d4b5b7461:0x56396e61e7df574e,🏷️ Thrift & vintage,
Hollywood Vintage,,https://www.google.com/maps/place/Hollywood+Vintage/data=!4m2!3m1!1s0x5495a0c7d2355d2b:0x682e74ca1a216585,🏷️ Thrift & vintage,
Lost Avenue Books,,https://www.google.com/maps/place/Lost+Avenue+Books/data=!4m2!3m1!1s0x5495a74182fa8de1:0x726bc3ead15337b1,📚 Bookstores,
Music Millennium,,https://www.google.com/maps/place/Music+Millennium/data=!4m2!3m1!1s0x5495a0c06e22ab61:0x5f6f388a37b022d8,💽 Record stores,
Next Adventure Portland Outdoor Store,,https://www.google.com/maps/place/Next+Adventure+Portland+Outdoor+Store/data=!4m2!3m1!1s0x5495a0a6daa4ebf9:0x72795722375e344a,🛴 Fun stores,
