Title,Note,URL,Tags,Comment
,,,🥯 Bagels;😋 Snack stores;🥞 Breakfast;🍸 Beer & Cocktails;🍃 Vegan;🚚 Food carts;🍰 Sweet treats;☕️ Coffee,
Cornet Custard,,https://www.google.com/maps/place/Cornet+Custard/data=!4m2!3m1!1s0x5495a700307f8397:0x8ebee843d99522a5,🍰 Sweet treats,
Cloud City Ice Cream,,https://www.google.com/maps/place/Cloud+City+Ice+Cream/data=!4m2!3m1!1s0x54950aa0c90fe67f:0x8a96585e19715cf3,🍰 Sweet treats,
Based General Store,,https://www.google.com/maps/place/Based+General+Store/data=!4m2!3m1!1s0x54950b233a453961:0xe74f120f00d8a353,☕️ Coffee;😋 Snack stores,
Caffeine Withdrawal,,https://www.google.com/maps/place/Caffeine+Withdrawal/data=!4m2!3m1!1s0x5495a14b5a6ea68b:0xa7e2a34358006400,☕️ Coffee,
Kaleido Coffee,,https://www.google.com/maps/place/Kaleido+Coffee/data=!4m2!3m1!1s0x54950976d05f8253:0x90c33657e360e5e7,☕️ Coffee,
Exquisite Creatures Coffee,,https://www.google.com/maps/place/Exquisite+Creatures+Coffee/data=!4m2!3m1!1s0x5495a34c62483999:0x45239e39f2ef9ac3,☕️ Coffee;🍃 Vegan,
Cafe Olli,,https://www.google.com/maps/place/Cafe+Olli/data=!4m2!3m1!1s0x54858547a12ea479:0xf982bfd23df24fe6,🍰 Sweet treats;☕️ Coffee,
Mudd Works Roastery,,https://www.google.com/maps/place/Mudd+Works+Roastery/data=!4m2!3m1!1s0x54950a5b8bdf1289:0x6ee024d18d6aae5d,☕️ Coffee;🍰 Sweet treats,
Cubo,,https://www.google.com/maps/place/Cubo/data=!4m2!3m1!1s0x5495a7be8064663d:0xb41b2676267bb4fc,,
Doe Donuts + Ice Cream,,https://www.google.com/maps/place/Doe+Donuts+%2B+Ice+Cream/data=!4m2!3m1!1s0x5495a049b38d84eb:0x926ccba0e1ec836f,🍃 Vegan;🍰 Sweet treats,
Basilisk,,https://www.google.com/maps/place/Basilisk/data=!4m2!3m1!1s0x5495a0c7dd2b6e09:0xf44de90e4777939e,,
Missionary Chocolates,,https://www.google.com/maps/place/Missionary+Chocolates/data=!4m2!3m1!1s0x5495a0bba1f47bd3:0x685a7e701a69e774,🍃 Vegan;🍰 Sweet treats,
Friendship Kitchen,,https://www.google.com/maps/place/Friendship+Kitchen/data=!4m2!3m1!1s0x5495a16eb1cabda9:0x9c638a80010c26fa,,
Lauretta Jean's,,https://www.google.com/maps/place/Lauretta+Jean's/data=!4m2!3m1!1s0x5495a0863d54156d:0x2aec5e03f8f53aaf,🍰 Sweet treats,
Village Kitchen,,https://www.google.com/maps/place/Village+Kitchen/data=!4m2!3m1!1s0x54950b8ad575f499:0x986d93772569091e,,
Walk The Wok,,https://www.google.com/maps/place/Walk+The+Wok/data=!4m2!3m1!1s0x54950b6ac6edb239:0x7db8ffab4f6762e3,🍃 Vegan,
Thai Peacock,,https://www.google.com/maps/place/Thai+Peacock/data=!4m2!3m1!1s0x54950a03c3b0e46f:0x31e91c3ef4602fec,,
El Pilón,,https://www.google.com/maps/place/El+Pil%C3%B3n/data=!4m2!3m1!1s0x54950a065d9b8673:0x17f92c08923ec36d,,
Fried Egg I'm In Love,,https://www.google.com/maps/place/Fried+Egg+I'm+In+Love/data=!4m2!3m1!1s0x5495a04721dd7373:0x2e9d7c6479edc2df,,
Portland Juice Co.,,https://www.google.com/maps/place/Portland+Juice+Co./data=!4m2!3m1!1s0x54950a7bba0cd045:0x2c164d9c893c88e5,,
"Sincerely, Bagel",,"https://www.google.com/maps/place/Sincerely,+Bagel/data=!4m2!3m1!1s0x5495a1e462b0523f:0x89b3ef5073d259dd",🥯 Bagels,
Madrona Hill Cafe,,https://www.google.com/maps/place/Madrona+Hill+Cafe/data=!4m2!3m1!1s0x5495a79e60754c69:0x329e7472c385fbc8,🥯 Bagels,
Tabor Bread,,https://www.google.com/maps/place/Tabor+Bread/data=!4m2!3m1!1s0x5495a0f3ffc03b6b:0x70e555557892dc48,🥯 Bagels,
Speed-o Cappuccino,,https://www.google.com/maps/place/Speed-o+Cappuccino/data=!4m2!3m1!1s0x5495a142e9db9637:0xa1f011e9274f50b9,🍃 Vegan,
Behind The Museum Cafe,,https://www.google.com/maps/place/Behind+The+Museum+Cafe/data=!4m2!3m1!1s0x54950a1a5f3d68e5:0x806ad772fb9d0ebe,🍰 Sweet treats,
One Moto Cafe / Sidewinder Subs,,https://www.google.com/maps/place/One+Moto+Cafe+%2F+Sidewinder+Subs/data=!4m2!3m1!1s0x5495a19b9c09f28b:0xb56a5584e043453b,,
Sweetpea Baking Co.,,https://www.google.com/maps/place/Sweetpea+Baking+Co./data=!4m2!3m1!1s0x5495a0a4750c01db:0xab3adbb76f9fd998,🍃 Vegan;🍰 Sweet treats,
Roste Chocolate House,,https://www.google.com/maps/place/Roste+Chocolate+House/data=!4m2!3m1!1s0x54950902d48760fb:0xe72ca741cb67a51f,🍰 Sweet treats,
Cricket Cafe,,https://www.google.com/maps/place/Cricket+Cafe/data=!4m2!3m1!1s0x5495a09413f0adb5:0x88583e1c8bff9156,🍃 Vegan;🥞 Breakfast,
Cherries & Figs Wine Shop,,https://www.google.com/maps/place/Cherries+%26+Figs+Wine+Shop/data=!4m2!3m1!1s0x5495a7140ba863c1:0x6bff9712cabd9d4c,🍸 Beer & Cocktails,
Umami Sushi Pdx Food Cart,,https://www.google.com/maps/place/Umami+Sushi+Pdx+Food+Cart/data=!4m2!3m1!1s0x5495a7a810ac79eb:0x90470b8d2fa6a4c,🚚 Food carts,
Yang's Noodle 煎饼师傅,,https://www.google.com/maps/place/Yang's+Noodle+%E7%85%8E%E9%A5%BC%E5%B8%88%E5%82%85/data=!4m2!3m1!1s0x5495a7c23603e279:0xf986440f3c540b6,,
Pasture PDX,,https://www.google.com/maps/place/Pasture+PDX/data=!4m2!3m1!1s0x5495a7a361acaff5:0x1e7fb4740a82bbb3,,
Norah Alberta,,https://www.google.com/maps/place/Norah+Alberta/data=!4m2!3m1!1s0x5495a7006e10ed4d:0x461a2f183440bac1,🍃 Vegan,
NoPoBoys,,https://www.google.com/maps/place/NoPoBoys/data=!4m2!3m1!1s0x5495a70d1913ac69:0xc5a20f9ffc9deca0,🚚 Food carts,
Radio Room,,https://www.google.com/maps/place/Radio+Room/data=!4m2!3m1!1s0x5495a7193b5d9715:0x6f10035cf4467eb8,,
Bye and Bye,,https://www.google.com/maps/place/Bye+and+Bye/data=!4m2!3m1!1s0x5495a71913f83e33:0x59407c50eb6ebb4e,🍸 Beer & Cocktails,
Alberta Cooperative Grocery,,https://www.google.com/maps/place/Alberta+Cooperative+Grocery/data=!4m2!3m1!1s0x5495a71f14b8aa9b:0x969d89a9f479a69d,😋 Snack stores,
Conscious Sedation Beer Garden,,https://www.google.com/maps/place/Conscious+Sedation+Beer+Garden/data=!4m2!3m1!1s0x5495a793b3757631:0xfa0b1bc4c1af47da,🍸 Beer & Cocktails,
Ranger Chocolate Co.,,https://www.google.com/maps/place/Ranger+Chocolate+Co./data=!4m2!3m1!1s0x5495a0af3238a045:0xa3505562c739cfb4,🍰 Sweet treats,
Life of Pie Pizza,Has vegan option for pizza,https://www.google.com/maps/place/Life+of+Pie+Pizza/data=!4m2!3m1!1s0x5495a73f81f0b5df:0x4f2f17071f435088,🍃 Vegan,
Jinju Patisserie,,https://www.google.com/maps/place/Jinju+Patisserie/data=!4m2!3m1!1s0x5495a7262ec5e87d:0x4584b054cf35ff11,🍰 Sweet treats,
Pacific Standard,,https://www.google.com/maps/place/Pacific+Standard/data=!4m2!3m1!1s0x5495a13affeb3f15:0x457e3b3b93fd7b2,🍸 Beer & Cocktails,
Rontoms,,https://www.google.com/maps/place/Rontoms/data=!4m2!3m1!1s0x5495a0a5fed62565:0x9f04265b15024d83,🍸 Beer & Cocktails,
Bao Bao,,https://www.google.com/maps/place/Bao+Bao/data=!4m2!3m1!1s0x5495a17bfad148c9:0xfcc903b71fba1937,,
