Title,Note,URL,Tags,Comment
,,,,
Fernie's Coffee Rhody,,https://www.google.com/maps/place/Fernie's+Coffee+Rhody/data=!4m2!3m1!1s0x54be211fb8b9d37d:0xc08329a23cba2617,,
Icicle Creek Trailhead,,https://www.google.com/maps/place/Icicle+Creek+Trailhead/data=!4m2!3m1!1s0x549a59afe69b7ed9:0xc526c93e7591f3c4,,
Glacier Basin,,https://www.google.com/maps/place/Glacier+Basin/data=!4m2!3m1!1s0x549ac30079680f25:0xd27db2ae6ef1b904,,
Kendall Katwalk Trail Head,,https://www.google.com/maps/place/Kendall+Katwalk+Trail+Head/data=!4m2!3m1!1s0x549a797189584937:0xce3456f1223f005,,
Franklin Falls,,https://www.google.com/maps/place/Franklin+Falls/data=!4m2!3m1!1s0x549a7911c980648f:0xbb344ec8fced0470,,
Mirror Lake Trailhead,,https://www.google.com/maps/place/Mirror+Lake+Trailhead/data=!4m2!3m1!1s0x549a77dc1f2e5165:0x760d024068a7320c,,
Mirror Lake via Pacific Crest Trail,,https://www.google.com/maps/place/Mirror+Lake+via+Pacific+Crest+Trail/data=!4m2!3m1!1s0x549a79efc226e0c9:0x3ceef364cbd3164,,
Windy Pass,,https://www.google.com/maps/place/Windy+Pass/data=!4m2!3m1!1s0x549a5b271a3c0a79:0x882baf91408a5bae,,
The Enchantments,,https://www.google.com/maps/place/The+Enchantments/data=!4m2!3m1!1s0x549a4460de83c0f1:0x802384bbed5406d9,,
Rachel Lake,,https://www.google.com/maps/place/Rachel+Lake/data=!4m2!3m1!1s0x549a7a69f49956fb:0xf4e0730a98f63350,,
Rampart Lakes,,https://www.google.com/maps/place/Rampart+Lakes/data=!4m2!3m1!1s0x549a7b6b1983ca79:0x20d782a466d4ea90,,
Bush on root,,https://www.google.com/maps/place/Bush+on+root/data=!4m2!3m1!1s0x549a7700151e6813:0xcb10d9a880e00fb6,,
Silver Peak,,https://www.google.com/maps/place/Silver+Peak/data=!4m2!3m1!1s0x549082ab5772128b:0x292df6506aa5ed44,,
Twin Lakes,,https://www.google.com/maps/place/Twin+Lakes/data=!4m2!3m1!1s0x549a77fa12d1d0ed:0x5a214e31c8c3b7b6,,
Trailhead: Sleeping Beauty,,https://www.google.com/maps/place/Trailhead:+Sleeping+Beauty/data=!4m2!3m1!1s0x549660120324a533:0x5e0ef359ea5cea2c,,
Lewis River Trail,,https://www.google.com/maps/place/Lewis+River+Trail/data=!4m2!3m1!1s0x5496865912972805:0x9f86b557a9b92459,,
Mount St. Helens National Volcanic Monument,,https://www.google.com/maps/place/Mount+St.+Helens+National+Volcanic+Monument/data=!4m2!3m1!1s0x54969956f1476a01:0xdb19f41c06e23e42,,
McClellan Viewpoint,,https://www.google.com/maps/place/McClellan+Viewpoint/data=!4m2!3m1!1s0x5496879612b655d9:0x6440be28d1c03799,,
PCT Trailhead at Mount Catherine,,https://www.google.com/maps/place/PCT+Trailhead+at+Mount+Catherine/data=!4m2!3m1!1s0x549a77aa925c98ff:0x2211598cc99006c1,,
Painted Hills,,https://www.google.com/maps/place/Painted+Hills/data=!4m2!3m1!1s0x54bc051cab41fe65:0xa1b1ffc4a2c07158,,
Proxy Falls,,https://www.google.com/maps/place/Proxy+Falls/data=!4m2!3m1!1s0x54bf50d02df0ecff:0xb992ce5127b9d560,,
Naked Falls,,https://www.google.com/maps/place/Naked+Falls/data=!4m2!3m1!1s0x5495c3ef3970189d:0xa4f0e636d910c186,,
Randonnee Coffee Co.,,https://www.google.com/maps/place/Randonnee+Coffee+Co./data=!4m2!3m1!1s0x5496117fd173b855:0xb5eacbf0a8a3ba50,,
Cannon Beach Access,,https://www.google.com/maps/place/Cannon+Beach+Access/data=!4m2!3m1!1s0x5494a50075de9a95:0x2c07f812eb1473de,,
Lone Pine Coffee Roasters,,https://www.google.com/maps/place/Lone+Pine+Coffee+Roasters/data=!4m2!3m1!1s0x54b8c627f1175005:0x3093345728f6df67,,
Backstreet Beat,,https://www.google.com/maps/place/Backstreet+Beat/data=!4m2!3m1!1s0x54903eb714903397:0x9b187a0218d2e28a,,
Eagle Harbor Book Co,,https://www.google.com/maps/place/Eagle+Harbor+Book+Co/data=!4m2!3m1!1s0x54903eb725aaee7b:0xd2b6e41a79b6bba8,,
Goat Rocks Wilderness,,https://www.google.com/maps/place/Goat+Rocks+Wilderness/data=!4m2!3m1!1s0x5497222ec13b0d4d:0x308f59c439323ad,,
Tao Organic Cafe + Herbery,,https://www.google.com/maps/place/Tao+Organic+Cafe+%2B+Herbery/data=!4m2!3m1!1s0x52b332d0bffff617:0xd677b60cb639990b,,
Sou'wester Historic Lodge & Vintage Travel Trailer Resort,,https://www.google.com/maps/place/Sou'wester+Historic+Lodge+%26+Vintage+Travel+Trailer+Resort/data=!4m2!3m1!1s0x54936d6983160b07:0x6fecf5768d1021de,,
High Desert Museum,,https://www.google.com/maps/place/High+Desert+Museum/data=!4m2!3m1!1s0x54b8bf2d95aa161f:0xd18b4cb8534a85cc,,
Steins Pillar Trailhead,,https://www.google.com/maps/place/Steins+Pillar+Trailhead/data=!4m2!3m1!1s0x54b94b0e46551c3f:0xddd16b0b22d5b564,,
Lake Tekapo Picnic Bench,,https://www.google.com/maps/place/Lake+Tekapo+Picnic+Bench/data=!4m2!3m1!1s0x6d2b75603d821b33:0xd02a87de231a3f65,,
Ithilien Camp (LotR),,https://www.google.com/maps/place/Ithilien+Camp+(LotR)/data=!4m2!3m1!1s0xa9d4fc563646d65b:0x41b98ee36d73a2be,,
Tart Bakery (Grey Lynn),,https://www.google.com/maps/place/Tart+Bakery+(Grey+Lynn)/data=!4m2!3m1!1s0x6d0d47a3f6481dcf:0x5b92b334581fb599,,
Astoria,,https://www.google.com/maps/place/Astoria/data=!4m2!3m1!1s0x54937b440995fb8b:0xf7dd72f1a11b8abf,,
Ariana Kabob,Sam recommended,https://www.google.com/maps/place/Ariana+Kabob/data=!4m2!3m1!1s0x89b11325763588bf:0x9bfc6943f6769e42,,
Pelican Brewing – Siletz Bay,,https://www.google.com/maps/place/Pelican+Brewing+%E2%80%93+Siletz+Bay/data=!4m2!3m1!1s0x54ea8d5f3a758647:0xf9fda7703a7f9ff4,,
Local Ocean Seafoods,,https://www.google.com/maps/place/Local+Ocean+Seafoods/data=!4m2!3m1!1s0x54c1d7b461340097:0x769ca6e46b05e533,,
Spruce Nature Trail,,https://www.google.com/maps/place/Spruce+Nature+Trail/data=!4m2!3m1!1s0x548e6a76686e961b:0x11ee52f0081c8e75,,
Olympic Hot Springs,,https://www.google.com/maps/place/Olympic+Hot+Springs/data=!4m2!3m1!1s0x548e4ed5cd4f90eb:0x9c8b68efc98445ad,,
Glam Doll Donuts,,https://www.google.com/maps/place/Glam+Doll+Donuts/data=!4m2!3m1!1s0x52b332b574011269:0xd83564d4cf31da27,,
Red Silo Coffee Roasters,,https://www.google.com/maps/place/Red+Silo+Coffee+Roasters/data=!4m2!3m1!1s0x876b9bf384635765:0x3350e30de3d0edd1,,
Pangea Coffee Roasters,,https://www.google.com/maps/place/Pangea+Coffee+Roasters/data=!4m2!3m1!1s0x876b84d700390315:0xbf7a575a947f825f,,
Merriam Point,,https://www.google.com/maps/place/Merriam+Point/data=!4m2!3m1!1s0x54c63f00982a9255:0xde05c04943c6e37e,,
Sinnott Memorial Observation Station,,https://www.google.com/maps/place/Sinnott+Memorial+Observation+Station/data=!4m2!3m1!1s0x54c63df11046d4fd:0xab6b5ee30019c955,,
Big Tree Wayside,,https://www.google.com/maps/place/Big+Tree+Wayside/data=!4m2!3m1!1s0x54d106c89fcb862d:0xa4af620f23aaf4a4,,
Howland Hill Rd,,https://www.google.com/maps/place/Howland+Hill+Rd/data=!4m2!3m1!1s0x54d06900b9863699:0xf0b8feaff3a49302,,
Tall Trees Grove Trailhead Parking,,https://www.google.com/maps/place/Tall+Trees+Grove+Trailhead+Parking/data=!4m2!3m1!1s0x54d1126888bfbacd:0x60cb646ccf6660dd,,
Lady Bird Johnson Grove Trail,,https://www.google.com/maps/place/Lady+Bird+Johnson+Grove+Trail/data=!4m2!3m1!1s0x54d10ff9b0113c51:0x59726d119bb90c3a,,
MILLIES,,https://www.google.com/maps/place/MILLIES/data=!4m2!3m1!1s0x54c57be33c15cf59:0x2f62a5b9903ecef9,,
Oregon Caves National Monument & Preserve,,https://www.google.com/maps/place/Oregon+Caves+National+Monument+%26+Preserve/data=!4m2!3m1!1s0x54cfee79fbf2127d:0x928f6fc902b33e73,,
Avenue of the Giants,,https://www.google.com/maps/place/Avenue+of+the+Giants/data=!4m2!3m1!1s0x54d4894ad7557c17:0xb1b44727de99103e,,
Rogue River-Siskiyou National Forest,,https://www.google.com/maps/place/Rogue+River-Siskiyou+National+Forest/data=!4m2!3m1!1s0x54cf96a97bf89b03:0xd519d8aeeaf4cfc4,,
Klamath National Forest,,https://www.google.com/maps/place/Klamath+National+Forest/data=!4m2!3m1!1s0x54ce1423d0d23a83:0xe6caf922515b878f,,
Rock Creek Campground,,https://www.google.com/maps/place/Rock+Creek+Campground/data=!4m2!3m1!1s0x54c18e31ef2677ed:0x3cc50f029f1492ae,,
Tillamook State Forest,,https://www.google.com/maps/place/Tillamook+State+Forest/data=!4m2!3m1!1s0x5494d675b16e1e6f:0xa94f3872afe34e8b,,
Pacific Coast Ranges,,https://www.google.com/maps/place/Pacific+Coast+Ranges/data=!4m2!3m1!1s0x54cfd970ab1f818f:0x9bc3a66f20553833,,
