neighborhood,combo_label
ALAMEDA,NA
ALAMEDA/BEAUMONT-WILSHIRE,NA
ALAMEDA/IRVINGTON,NA
ARBOR LODGE,NA
ARDENWALD-JOHNSON CREEK,NA
ARDENWALD-JOHNSON CREEK/WOODSTOCK,NA
ARGAY TERRACE,NA
ARGAY TERRACE/WILKES,NA
ARLINGTON HEIGHTS,NA
ARLINGTON HEIGHTS/SYLVAN-HIGHLANDS,NA
ARNOLD CREEK,NA
ASHCREEK-CRESTWOOD,NA
BEAUMONT-WILSHIRE,NA
BOISE,NA
BOISE/ELIOT,NA
BRENTWOOD-DARLINGTON,NA
BRIDGETON,NA
BRIDLEMILE,NA
BRIDLEMILE/SOUTHWEST HILLS,NA
BROOKLYN,NA
BUCKMAN,NA
CATHEDRAL PARK,NA
CENTENNIAL,NA
CENTENNIAL/PLEASANT VALLEY,NA
COLLINS VIEW,NA
CONCORDIA,NA
CRESTON-KENILWORTH,NA
CULLY,NA
EAST COLUMBIA,NA
EASTMORELAND,NA
EASTMORELAND/ARDENWALD-JOHNSON CREEK,NA
EASTMORELAND/REED,NA
ELIOT,NA
FAR SOUTHWEST,NA
FOREST PARK,NA
FOREST PARK/LINNTON,NA
FOREST PARK/NORTHWEST DISTRICT,NA
FOSTER-POWELL,NA
GLENFAIR,NA
GOOSE HOLLOW,NA
GOOSE HOLLOW/SOUTHWEST HILLS,NA
GRANT PARK,NA
GRANT PARK/HOLLYWOOD,NA
HAYDEN ISLAND,NA
HAYHURST,NA
HAZELWOOD,NA
HAZELWOOD/MILL PARK,NA
HEALY HEIGHTS/SOUTHWEST HILLS,NA
HILLSDALE,NA
HILLSIDE,NA
HILLSIDE/NORTHWEST DISTRICT,NA
HOLLYWOOD,NA
HOMESTEAD,NA
HOSFORD-ABERNETHY,NA
HUMBOLDT,NA
IRVINGTON,NA
KENTON,NA
KERNS,NA
KING,NA
LAURELHURST,NA
LENTS,NA
LENTS/POWELLHURST-GILBERT,NA
LINNTON,NA
LLOYD,NA
LLOYD/SULLIVAN'S GULCH,NA
MADISON SOUTH,NA
MAPLEWOOD,NA
MARKHAM,NA
MARSHALL PARK,NA
MC UNCLAIMED #11,NA
MC UNCLAIMED #13,NA
MC UNCLAIMED #14,NA
MC UNCLAIMED #5,NA
MILL PARK,NA
MONTAVILLA,NA
MT. SCOTT-ARLETA,NA
MT. TABOR,NA
MULTNOMAH,NA
NORTH TABOR,NA
NORTHWEST DISTRICT,NA
NORTHWEST HEIGHTS,NA
OLD TOWN,NA
OVERLOOK,NA
PARKROSE,NA
PARKROSE HEIGHTS,NA
PEARL DISTRICT,NA
PIEDMONT,NA
PLEASANT VALLEY,NA
PLEASANT VALLEY/POWELLHURST-GILBERT,NA
PORTLAND DOWNTOWN,Downtown
PORTSMOUTH,NA
POWELLHURST-GILBERT,NA
REED,NA
RICHMOND,NA
ROSE CITY PARK,NA
ROSEWAY,NA
ROSEWAY/MADISON SOUTH,NA
RUSSELL,NA
SABIN,NA
SABIN/IRVINGTON,NA
SELLWOOD-MORELAND,NA
SOUTH BURLINGAME,NA
SOUTH PORTLAND,NA
SOUTH TABOR,NA
SOUTHWEST HILLS,NA
ST. JOHNS,NA
SULLIVAN'S GULCH,NA
SULLIVAN'S GULCH/GRANT PARK,NA
SUMNER,NA
SUNDERLAND,NA
SUNNYSIDE,NA
SYLVAN-HIGHLANDS,NA
SYLVAN-HIGHLANDS/SOUTHWEST HILLS,NA
UNIVERSITY PARK,NA
VERNON,NA
WEST PORTLAND PARK,NA
WILKES,NA
WOODLAND PARK,NA
WOODLAWN,NA
WOODSTOCK,NA
