Title,Note,URL,Tags,Comment,source_list,title,tags,note,url,lat,lng,distance_mi,neighborhood,section,id,processed_date,home_address
NA,NA,NA,NA,NA,Hikes & Trail Runs,Unnamed place from Hikes Trail Runs,,,,45.516018,-122.681425,3.2,Portland Downtown,Southwest,Hikes & Trail Runs_1,2025-09-09,"3976 N Gantenbein Avenue, Portland, OR 97227"
Pittock Mansion,NA,https://www.google.com/maps/place/Pittock+Mansion/data=!4m2!3m1!1s0x549509920bd06f53:0xbfea2f6e1ea1c0fa,NA,NA,Hikes & Trail Runs,Pittock Mansion,,,https://www.google.com/maps/place/Pittock+Mansion/data=!4m2!3m1!1s0x549509920bd06f53:0xbfea2f6e1ea1c0fa,45.5252816,-122.71609,3.2,Hillside,Northwest,Hikes & Trail Runs_2,2025-09-09,"3976 N Gantenbein Avenue, Portland, OR 97227"
Springville Rd Trailhead into Forest Park,NA,https://www.google.com/maps/place/Springville+Rd+Trailhead+into+Forest+Park/data=!4m2!3m1!1s0x549509541b66d4fb:0x8193f58a6bc09957,NA,NA,Hikes & Trail Runs,Springville Rd Trailhead into Forest Park,,,https://www.google.com/maps/place/Springville+Rd+Trailhead+into+Forest+Park/data=!4m2!3m1!1s0x549509541b66d4fb:0x8193f58a6bc09957,45.57441,-122.78839,5.5,Forest Park,Northwest,Hikes & Trail Runs_3,2025-09-09,"3976 N Gantenbein Avenue, Portland, OR 97227"
Wildwood Trailhead at Germantown Rd,NA,https://www.google.com/maps/place/Wildwood+Trailhead+at+Germantown+Rd/data=!4m2!3m1!1s0x549507c37611cb9d:0xf2917a1472563db1,NA,NA,Hikes & Trail Runs,Wildwood Trailhead at Germantown Rd,,,https://www.google.com/maps/place/Wildwood+Trailhead+at+Germantown+Rd/data=!4m2!3m1!1s0x549507c37611cb9d:0xf2917a1472563db1,45.58729,-122.79399,6,Forest Park/Linnton,Northwest,Hikes & Trail Runs_4,2025-09-09,"3976 N Gantenbein Avenue, Portland, OR 97227"
Powell Butte Trailhead,NA,https://www.google.com/maps/place/Powell+Butte+Trailhead/data=!4m2!3m1!1s0x54959f8d73e33877:0x941748e5c14b749f,NA,NA,Hikes & Trail Runs,Powell Butte Trailhead,,,https://www.google.com/maps/place/Powell+Butte+Trailhead/data=!4m2!3m1!1s0x54959f8d73e33877:0x941748e5c14b749f,45.492489,-122.511671,9.3,Centennial,Southeast,Hikes & Trail Runs_5,2025-09-09,"3976 N Gantenbein Avenue, Portland, OR 97227"
Springwater Corridor Trail,NA,https://www.google.com/maps/place/Springwater+Corridor+Trail/data=!4m2!3m1!1s0x549598c66f140a1d:0xedb5386099f308cf,NA,NA,Hikes & Trail Runs,Springwater Corridor Trail,,,https://www.google.com/maps/place/Springwater+Corridor+Trail/data=!4m2!3m1!1s0x549598c66f140a1d:0xedb5386099f308cf,45.49575,-122.65993,4.7,Brooklyn,Southeast,Hikes & Trail Runs_6,2025-09-09,"3976 N Gantenbein Avenue, Portland, OR 97227"
NW 53rd Dr trailhead,NA,https://www.google.com/maps/place/NW+53rd+Dr+trailhead/data=!4m2!3m1!1s0x549509b753fd65fb:0x62c459da12c6fdc,NA,NA,Hikes & Trail Runs,NW 53rd Dr trailhead,,,https://www.google.com/maps/place/NW+53rd+Dr+trailhead/data=!4m2!3m1!1s0x549509b753fd65fb:0x62c459da12c6fdc,45.5404355,-122.7367774,3.3,Forest Park,Northwest,Hikes & Trail Runs_7,2025-09-09,"3976 N Gantenbein Avenue, Portland, OR 97227"
Ridge Trailhead,NA,https://www.google.com/maps/place/Ridge+Trailhead/data=!4m2!3m1!1s0x549508082bde896b:0xa280d949a2645abe,NA,NA,Hikes & Trail Runs,Ridge Trailhead,,,https://www.google.com/maps/place/Ridge+Trailhead/data=!4m2!3m1!1s0x549508082bde896b:0xa280d949a2645abe,45.5821,-122.7677,4.7,Linnton,Northwest,Hikes & Trail Runs_8,2025-09-09,"3976 N Gantenbein Avenue, Portland, OR 97227"
Linnton Loop Hike Trailhead,NA,https://www.google.com/maps/place/Linnton+Loop+Hike+Trailhead/data=!4m2!3m1!1s0x549507ed7339c167:0x1fb0dbba3574136b,NA,NA,Hikes & Trail Runs,Linnton Loop Hike Trailhead,,,https://www.google.com/maps/place/Linnton+Loop+Hike+Trailhead/data=!4m2!3m1!1s0x549507ed7339c167:0x1fb0dbba3574136b,45.59631,-122.78417,5.8,Linnton,Northwest,Hikes & Trail Runs_9,2025-09-09,"3976 N Gantenbein Avenue, Portland, OR 97227"
Flicker Trail,NA,https://www.google.com/maps/place/Flicker+Trail/data=!4m2!3m1!1s0x54950a4e599e83d3:0xbbb18e1a303a5a7,NA,NA,Hikes & Trail Runs,Flicker Trail,,,https://www.google.com/maps/place/Flicker+Trail/data=!4m2!3m1!1s0x54950a4e599e83d3:0xbbb18e1a303a5a7,45.522368,-122.650012,3,Buckman,Southeast,Hikes & Trail Runs_10,2025-09-09,"3976 N Gantenbein Avenue, Portland, OR 97227"
