query,lat,long
"Portland, OR",45.516018,-122.681425
" Portland, OR",45.516018,-122.681425
"Leif Erikson Trail Portland, OR",45.539118,-122.725341
"Aspen Trail Portland, OR",45.434939190113,-122.597115382969
"Star Theater and Starlight Lounge Portland, OR",45.5234,-122.676748
"Joy Cinema Portland, OR",45.4340203,-122.7659929
"McMenamins Kennedy School Theater Portland, OR",45.564506,-122.629643
"Moreland Theater Portland, OR",45.4743443,-122.6485018
"St. Johns Twin Cinemas Portland, OR",45.59057,-122.75566
"McMenamins Bagdad Theater & Pub Portland, OR",45.5119,-122.6254
"5th Avenue Cinema Portland, OR",45.5101,-122.6827
"Avalon Theatre Portland, OR",45.544108855091,-122.86193217054701
"Academy Theater Portland, OR",45.519014,-122.582815
"Cinemagic Portland, OR",45.512319,-122.645055
"Studio One Theaters Portland, OR",45.4981928,-122.6213615
"PAM CUT's Tomorrow Theater Portland, OR",45.504606,-122.627591
"Laurelhurst Theater Portland, OR",45.5232385,-122.6375138
"Clinton Street Theater Portland, OR",45.5032807,-122.6402898
"Hollywood Theatre Portland, OR",45.535574,-122.6207777
"Living Room Theaters Portland, OR",45.522337,-122.681381
"Cinema 21 Portland, OR",45.5273386,-122.69434
"Art Supply Center- (formerly known as I’ve Been Framed) Portland, OR",45.526498,-122.606367
"Little Otsu (Still open online - Division store closed) Portland, OR",45.516018,-122.681425
"Oblation Papers & Press Portland, OR",45.526804,-122.682976
"Mint Gallery Records Portland, OR",45.516018,-122.681425
"H Mart Belmont Portland, OR",45.516549240311,-122.664687874273
MUJI Portland,45.519218,-122.677671
"Queen of eyes Vintage Portland, OR",45.397208581389,-122.611603904387
"Electric Lettuce Dispensary Portland, OR",45.526669,-122.588335
"DIMEANDPENNY Portland, OR",45.516018,-122.681425
"Community Cycling Center Portland, OR",45.5589,-122.647468
"Birdhouse Tattoo Portland, OR",45.497675,-122.602267
"Citizens Photo Portland, OR",45.530529,-122.633076
"Mountain Shop Portland, OR",45.530395,-122.634707
"Looking Sideways Vintage Portland, OR",45.529529,-122.636972
"Hollywood Vintage Portland, OR",45.529545,-122.637279
"Lost Avenue Books Portland, OR",45.601369386874,-122.857053270139
"Music Millennium Portland, OR",45.522717,-122.631944
Next Adventure Portland Outdoor Store,45.519638,-122.660512
